,date,tweets_count
0,2019-05-22,-0.9885336838972155
1,2019-05-23,-0.27417671531486243
2,2019-05-24,-0.410378801233365
3,2019-05-25,-0.7674831821045641
4,2019-05-26,-0.8146870606301823
5,2019-05-27,-0.7053104127435067
6,2019-05-28,-0.6346157500850456
7,2019-05-29,-0.3006316362468022
8,2019-05-30,-0.6927128313473448
9,2019-05-31,-0.5300558244969024
10,2019-06-01,-0.6843391448898961
11,2019-06-02,-0.3207136630606838
12,2019-06-03,0.18274497226592487
13,2019-06-04,-0.2712125785157655
14,2019-06-05,-0.16902396236689984
15,2019-06-06,0.027572410833202103
16,2019-06-07,3.9901786907058936
17,2019-06-08,2.918791444672319
18,2019-06-09,0.23239426365079796
19,2019-06-10,-0.011405988074922144
20,2019-06-11,-0.06083296919986297
21,2019-06-12,-0.3100427705839349
22,2019-06-13,-0.4086003191539069
23,2019-06-14,-0.4586942310586445
24,2019-06-15,-0.4744782595138355
25,2019-06-16,0.005563695099907614
26,2019-06-17,0.12116503026468675
27,2019-06-18,-0.12715553007965613
28,2019-06-19,0.2806355900561
29,2019-06-20,0.6684187867979521
30,2019-06-21,0.6022444327581138
31,2019-06-22,-0.305151944865425
32,2019-06-23,0.64892958734389
33,2019-06-24,0.31783550688476614
34,2019-06-25,-0.14753397057344733
35,2019-06-26,0.17311152766885993
36,2019-06-27,-0.46943922695537077
37,2019-06-28,-0.42705207072828505
38,2019-06-29,-0.1376041122964727
39,2019-06-30,-0.28996074377005343
40,2019-07-01,0.20808834189820336
41,2019-07-02,1.3262348459375317
42,2019-07-03,0.30212558184955257
43,2019-07-04,-0.2929989839891277
44,2019-07-05,-0.49848776758652036
45,2019-07-06,-0.5904501117785017
46,2019-07-07,-0.2524644132614776
47,2019-07-08,0.7330369690182645
48,2019-07-09,0.1788915944270989
49,2019-07-10,0.09167186911367259
50,2019-07-11,-0.17680482146452922
51,2019-07-12,-0.3178236296815643
52,2019-07-13,-0.6166086190305319
53,2019-07-14,-0.4809252570518712
54,2019-07-15,-0.0688361385574246
55,2019-07-16,-0.12419139328055923
56,2019-07-17,0.5563744157920892
57,2019-07-18,0.7045812557469343
58,2019-07-19,0.14280322889809413
59,2019-07-20,0.5654150330293348
60,2019-07-21,0.25469939306400213
61,2019-07-22,-0.3695478168258052
62,2019-07-23,-0.3501327207917205
63,2019-07-24,-0.1796948548436487
64,2019-07-25,-0.24609151914341929
65,2019-07-26,0.0808527697969689
66,2019-07-27,-0.5014519043856173
67,2019-07-28,-0.3836274666215155
68,2019-07-29,-0.1570192083305574
69,2019-07-30,-0.22000711531136655
70,2019-07-31,-0.043270458665213826
71,2019-08-01,-0.2593560313193779
72,2019-08-02,-0.18621595580166186
73,2019-08-03,-0.5151610370814405
74,2019-08-04,-0.47699777579306785
75,2019-08-05,-0.16909806578687728
76,2019-08-06,4.342095832178673
77,2019-08-07,5.483362603250957
78,2019-08-08,5.410815355093061
79,2019-08-09,0.8676828831172413
80,2019-08-10,0.18237445516603776
81,2019-08-11,-0.2775854726338238
82,2019-08-12,-0.10447988356656483
83,2019-08-13,-0.12893401215911426
84,2019-08-14,-0.05475648876171432
85,2019-08-15,-0.3872585342004092
86,2019-08-24,-1.3291871055334268
87,2019-08-25,0.046839300027331957
88,2019-08-26,-0.31997262886090955
89,2019-08-27,-0.2534277577211841
90,2019-08-28,-0.051347731442752884
91,2019-08-29,-0.22667642310933458
92,2019-08-30,-0.2165242545724277
93,2019-08-31,-0.23260469670752837
94,2019-09-01,-0.2698787169561719
95,2019-09-02,-0.2313449385679122
96,2019-09-03,-0.22193380423077952
97,2019-09-04,0.13494826638048735
98,2019-09-05,-0.17198809916599675
99,2019-09-06,0.373413071867833
100,2019-09-07,0.015419449956904809
101,2019-09-08,-0.4238656236692559
102,2019-09-09,-0.24698076018314835
103,2019-09-10,-0.47284798427433217
104,2019-09-11,-0.538577717794306
105,2019-09-12,-0.38355336320153804
106,2019-09-13,-0.22763976756904106
107,2019-09-14,-0.5052311788044659
108,2019-09-15,-0.5975640400963343
109,2019-09-16,0.31753909320485646
110,2019-09-17,-0.2548357227007551
111,2019-09-18,-0.2503895175021098
112,2019-09-19,-0.10284960832706154
113,2019-09-20,-0.3330889341969133
114,2019-09-21,-0.05616445374128535
115,2019-09-22,-0.006737472616344525
116,2019-09-23,0.38438037802449154
117,2019-09-24,-0.31478538946248996
118,2019-09-25,-0.48685353065006504
119,2019-09-26,-0.16568930846791582
120,2019-09-27,-0.39540991039792567
121,2019-09-28,-0.65662446581834
122,2019-09-29,-0.6312810961860615
123,2019-09-30,-0.3439821369335944
124,2019-10-01,-0.19310757385956218
125,2019-10-02,-0.841660705501964
126,2019-10-03,-0.9870516154976671
127,2019-10-23,-1.045445110439876
128,2019-10-24,-0.48566787593042626
129,2019-10-25,-0.26609944253732337
130,2019-10-26,-0.7182785112395556
131,2019-10-27,-0.8034233407936141
132,2019-10-28,-0.7267263011169818
133,2019-10-29,-0.42201303816982033
134,2019-10-30,-0.4249030715489398
135,2019-10-31,-0.23223417960764126
136,2019-11-01,-0.31582283734217387
137,2019-11-02,-0.6907120390079544
138,2019-11-03,-0.5640692942665393
139,2019-11-04,-0.14160569697525352
140,2019-11-05,-0.3718450228451053
141,2019-11-06,-0.12174598042130429
142,2019-11-07,-0.07817316947457983
143,2019-11-08,-0.4413540307839276
144,2019-11-09,-0.966154451064034
145,2019-11-10,-0.8378814310831155
146,2019-11-11,-0.36021078590864997
147,2019-11-12,-0.47210695007455794
148,2019-11-13,-0.5673298447455459
