bin_id,sentiment,Tstart,Tend,bin_position
1142,-0.80000,1584638745051,1584638989673,1
1143,-0.20000,1584638745051,1584638989673,2
1144,-0.60000,1584638745051,1584638989673,3
1151,-0.90000,1584638513729,1584638956923,1
1152,-0.90000,1584638513729,1584638956923,2
1154,-0.90000,1584631285427,1584638928161,1
1155,-0.90000,1584631285427,1584638928161,2
1156,-0.90000,1584631285427,1584638928161,3
1157,-0.40000,1584631285427,1584638928161,4
1158,-0.43333,1584631285427,1584638928161,5
1165,-0.80000,1584114036486,1584638891416,1
1166,0.00000,1584114036486,1584638891416,2
1184,0.60000,1584113847617,1584638798390,1
1185,-0.90000,1584113847617,1584638798390,2
1202,-0.25000,1584631285427,1584638674074,1
1213,0.80000,1584546369143,1584638631116,1
1215,-0.80000,1584428923482,1584638626535,1
1216,0.30000,1584428923482,1584638626535,2
1221,-0.90000,1584631285427,1584638598588,1
1222,0.15000,1584631285427,1584638598588,2
1224,-0.90000,1584631285427,1584638551943,1
1237,-0.75000,1584536955738,1584638509722,1
1246,0.00000,1584602624193,1584638466827,1
1253,-0.43333,1584631285427,1584638458787,1
1256,-0.90000,1584637517704,1584638428420,1
1257,0.10000,1584637517704,1584638428420,2
1279,1.00000,1584615846584,1584638338231,1
1280,-0.90000,1584615846584,1584638338231,2
1290,0.00000,1584113940709,1584638325513,1
1291,-0.20000,1584113940709,1584638325513,2
1295,-0.80000,1584615846584,1584638296736,1
1312,-0.70000,1584634575629,1584638249795,1
1313,-0.40000,1584634575629,1584638249795,2
1314,-0.36667,1584634575629,1584638249795,3
1325,-0.60000,1584637572321,1584638218111,1
1326,-0.60000,1584637572321,1584638218111,2
1334,-0.84000,1584630134230,1584638197988,1
1335,-0.60000,1584635387157,1584638186709,1
1336,-0.80000,1584635387157,1584638186709,2
1368,-0.31667,1584630134230,1584638130682,1
1387,-0.80000,1584623737782,1584638055328,1
1388,-0.80000,1584623737782,1584638055328,2
1389,-0.90000,1584623737782,1584638055328,3
1390,-0.40000,1584623737782,1584638055328,4
1394,-0.80000,1584637466315,1584638033073,1
1395,-0.90000,1584637466315,1584638033073,2
1398,-0.80000,1584629373077,1584638028089,1
1399,-0.70000,1584629373077,1584638028089,2
1400,0.90000,1584629373077,1584638028089,3
1436,-0.60000,1584609803765,1584637929128,1
1458,-0.80000,1584627718182,1584637825230,1
1459,-0.80000,1584627718182,1584637825230,2
1509,-0.90000,1584538493635,1584637607809,1
1511,-0.50000,1584628313633,1584637589651,1
1512,-0.30000,1584628313633,1584637589651,2
1513,0.90000,1584628313633,1584637589651,3
1524,-0.80000,1584627718182,1584637564160,1
1525,-0.65000,1584627718182,1584637564160,2
1540,-0.50000,1584637051024,1584637473826,1
1541,0.20000,1584637051024,1584637473826,2
1556,0.00000,1584385900092,1584637428731,1
1557,0.00000,1584385900092,1584637428731,2
1561,-0.80000,1584302524929,1584637401375,1
1562,0.10000,1584302524929,1584637401375,2
1570,-0.80000,1584615846584,1584637390469,1
1571,-0.40000,1584615846584,1584637390469,2
1578,-0.90000,1584568599201,1584637383572,1
1580,-0.80000,1584622129307,1584637374621,1
1581,0.90000,1584622129307,1584637374621,2
1604,-0.90000,1584631285427,1584637278665,1
1605,-0.80000,1584631285427,1584637278665,2
1606,-0.90000,1584631285427,1584637278665,3
1619,-0.85000,1584223623439,1584637246172,1
1621,-0.20000,1584637140018,1584637243359,1
1650,-0.90000,1584447681770,1584637097059,1
1651,-0.80000,1584447681770,1584637097059,2
1652,-0.80000,1584447681770,1584637097059,3
1655,-0.80000,1584561609547,1584637081906,1
1656,-0.25000,1584561609547,1584637081906,2
1663,-0.80000,1584557785673,1584637052409,1
1664,-0.10000,1584557785673,1584637052409,2
1673,-0.90000,1584082502881,1584637014138,1
1674,-0.80000,1584082502881,1584637014138,2
1675,-0.25000,1584082502881,1584637014138,3
1681,-0.60000,1584634983259,1584636977434,1
1682,-0.75000,1584634983259,1584636977434,2
1689,-0.30000,1584636541988,1584636968517,1
1690,-0.90000,1584636541988,1584636968517,2
1699,-0.80000,1584395047846,1584636946725,1
1700,-0.10000,1584395047846,1584636946725,2
1726,-0.60000,1584636153833,1584636874660,1
1728,-0.80000,1584553896244,1584636866880,1
1729,-0.90000,1584553896244,1584636866880,2
1730,0.10000,1584553896244,1584636866880,3
1733,-0.80000,1584538493635,1584636850721,1
1734,-0.30000,1584538493635,1584636850721,2
1735,-0.30000,1584538493635,1584636850721,3
1736,-0.26000,1584635638950,1584636844686,1
1737,-0.80000,1584635638950,1584636844686,2
1740,-0.80000,1584636448857,1584636838024,1
1741,-0.82500,1584636448857,1584636838024,2
1743,-0.50000,1584613321854,1584636833801,1
1744,-0.30000,1584613321854,1584636833801,2
1753,-0.85000,1584399672569,1584636789502,1
1754,-0.70000,1584399672569,1584636789502,2
1756,-0.70000,1584365687613,1584636752738,1
1757,-0.90000,1584365687613,1584636752738,2
1760,-0.80000,1584525920806,1584636738967,1
1761,-0.35000,1584525920806,1584636738967,2
1762,-0.53333,1584525920806,1584636738967,3
1763,-0.80000,1584636502267,1584636737697,1
1764,-0.80000,1584636502267,1584636737697,2
1765,-0.90000,1584636502267,1584636737697,3
1771,-0.45000,1582036136647,1584636728715,1
1772,-0.80000,1584567272838,1584636722287,1
