Language,Mean,Variance,Standard_deviation
ar,-0.008720759333473339,0.018665220007066743,0.1366207158781813
en,-0.14520417480967018,0.3932576943591282,0.6271026186830415
fr,-0.08211823498451039,0.12478674322260715,0.3532516712240823
pt,0.03218051502562357,0.04827529926145784,0.21971640644580423
it,0.0639469361442893,0.05843962791131638,0.24174289629959425
de,0.06900977242616586,0.04677026443788371,0.21626433926536226
hi,-0.10240107665712134,0.00793797681488328,0.08909532431549526
